Altitude_ft,Speed_knots,Pitch_deg,Throttle_Adjustment
3000,160,25,1
3000,220,10,0
3000,300,-5,-1
5000,180,20,1
5000,240,8,0
5000,320,-8,-1
7000,190,22,1
7000,260,5,0
7000,340,-10,-1
9000,200,18,1
9000,280,6,0
9000,360,-12,-1
11000,210,15,1
11000,300,4,0
11000,380,-10,-1
13000,220,18,1
13000,320,6,0
13000,400,-12,-1
15000,230,20,1
15000,340,5,0
15000,420,-10,-1
17000,240,18,1
17000,360,4,0
17000,440,-12,-1
19000,250,16,1
19000,380,3,0
19000,460,-10,-1
21000,260,14,1
21000,400,2,0
21000,480,-12,-1
23000,270,12,1
23000,420,2,0
23000,500,-10,-1
25000,280,10,1
25000,440,1,0
25000,520,-12,-1
27000,290,8,1
27000,460,0,0
27000,540,-10,-1
29000,300,6,1
29000,480,0,0
29000,560,-12,-1
31000,310,5,1
31000,500,-1,0
31000,580,-10,-1
33000,320,4,1
33000,520,-2,0
33000,600,-12,-1
35000,330,3,1
35000,540,-3,0
35000,620,-10,-1
37000,340,2,1
37000,560,-4,0
37000,640,-12,-1
39000,350,1,1
39000,580,-5,0
39000,660,-15,-1
